country,year,age_group,sex,population,ucd,any_common,alternative
BR,2012,0-4,F,7153216,8,17,17
BR,2012,0-4,M,7492554,12,20,20
BR,2012,10-14,F,8285050,3,5,5
BR,2012,10-14,M,8541075,1,5,5
BR,2012,15-19,F,8589660,5,10,10
BR,2012,15-19,M,8639928,3,11,11
BR,2012,20-24,F,8531695,16,22,22
BR,2012,20-24,M,8441064,4,11,11
BR,2012,25-29,F,8792496,27,40,40
BR,2012,25-29,M,8575592,10,18,18
BR,2012,30-34,F,8544808,42,63,63
BR,2012,30-34,M,8199033,22,40,40
BR,2012,35-39,F,7470921,51,84,84
BR,2012,35-39,M,7099826,25,54,54
BR,2012,40-44,F,6855954,75,120,120
BR,2012,40-44,M,6421655,59,105,105
BR,2012,45-49,F,6462955,94,187,187
BR,2012,45-49,M,5948125,73,148,148
BR,2012,5-9,F,7569606,1,1,1
BR,2012,5-9,M,7921789,0,3,3
BR,2012,50-54,F,5695367,137,255,255
BR,2012,50-54,M,5184257,88,189,189
BR,2012,55-59,F,4730221,148,308,308
BR,2012,55-59,M,4250290,138,274,274
BR,2012,60-64,F,3745698,207,383,383
BR,2012,60-64,M,3312928,169,316,316
BR,2012,65-69,F,2818255,271,461,461
BR,2012,65-69,M,2425459,188,373,373
BR,2012,70-74,F,2176358,302,536,536
BR,2012,70-74,M,1760793,251,456,456
BR,2012,75-79,F,1628848,396,652,652
BR,2012,75-79,M,1200455,253,466,466
BR,2012,80-84,F,1080514,451,698,698
BR,2012,80-84,M,712708,266,442,442
BR,2012,85+,F,895787,626,964,964
BR,2012,85+,M,515680,343,503,503
BR,2013,0-4,F,7121178,3,18,18
BR,2013,0-4,M,7463884,10,23,23
BR,2013,10-14,F,8138707,1,4,4
BR,2013,10-14,M,8426065,1,3,3
BR,2013,15-19,F,8561467,4,11,11
BR,2013,15-19,M,8644694,10,16,16
BR,2013,20-24,F,8488814,8,22,22
BR,2013,20-24,M,8412732,5,11,11
BR,2013,25-29,F,8724932,24,48,48
BR,2013,25-29,M,8524675,14,25,25
BR,2013,30-34,F,8648899,49,71,71
BR,2013,30-34,M,8310811,28,47,47
BR,2013,35-39,F,7660500,49,87,87
BR,2013,35-39,M,7282908,26,48,48
BR,2013,40-44,F,6928918,69,113,113
BR,2013,40-44,M,6497525,57,103,103
BR,2013,45-49,F,6540506,112,183,183
BR,2013,45-49,M,6021673,70,135,135
BR,2013,5-9,F,7454699,2,4,4
BR,2013,5-9,M,7805624,1,4,4
BR,2013,50-54,F,5850019,121,247,247
BR,2013,50-54,M,5313955,92,175,175
BR,2013,55-59,F,4896250,189,342,342
BR,2013,55-59,M,4391704,150,309,309
BR,2013,60-64,F,3903087,214,396,396
BR,2013,60-64,M,3437752,188,371,371
BR,2013,65-69,F,2951155,284,506,506
BR,2013,65-69,M,2536782,193,367,367
BR,2013,70-74,F,2228456,378,606,606
BR,2013,70-74,M,1804579,241,448,448
BR,2013,75-79,F,1687030,384,627,627
BR,2013,75-79,M,1248516,309,496,496
BR,2013,80-84,F,1112004,421,659,659
BR,2013,80-84,M,732403,298,442,442
BR,2013,85+,F,937332,663,1031,1031
BR,2013,85+,M,536467,325,483,483
BR,2014,0-4,F,7115554,6,18,18
BR,2014,0-4,M,7461659,8,21,21
BR,2014,10-14,F,7978298,2,3,3
BR,2014,10-14,M,8293387,2,4,4
BR,2014,15-19,F,8523697,8,13,13
BR,2014,15-19,M,8643609,6,7,7
BR,2014,20-24,F,8471662,19,38,38
BR,2014,20-24,M,8409991,8,17,17
BR,2014,25-29,F,8633807,20,41,41
BR,2014,25-29,M,8450017,10,23,23
BR,2014,30-34,F,8708662,43,60,60
BR,2014,30-34,M,8384967,13,35,35
BR,2014,35-39,F,7877867,42,83,83
BR,2014,35-39,M,7491084,37,64,64
BR,2014,40-44,F,7011991,82,116,116
BR,2014,40-44,M,6583218,43,85,85
BR,2014,45-49,F,6600591,109,192,192
BR,2014,45-49,M,6083062,79,146,146
BR,2014,5-9,F,7355032,1,1,1
BR,2014,5-9,M,7702044,0,1,1
BR,2014,50-54,F,5998567,149,245,245
BR,2014,50-54,M,5439538,100,201,201
BR,2014,55-59,F,5061785,205,361,361
