country,year,age_group,sex,subcode,ucd,any_common,population
BR,2012,0-4,F,K80,1,1,7153216
BR,2012,0-4,M,K80,0,1,7492554
BR,2012,10-14,F,K80,0,0,8285050
BR,2012,10-14,M,K80,0,0,8541075
BR,2012,15-19,F,K80,1,4,8589660
BR,2012,15-19,M,K80,2,2,8639928
BR,2012,20-24,F,K80,9,12,8531695
BR,2012,20-24,M,K80,1,1,8441064
BR,2012,25-29,F,K80,11,13,8792496
BR,2012,25-29,M,K80,2,3,8575592
BR,2012,30-34,F,K80,19,27,8544808
BR,2012,30-34,M,K80,13,19,8199033
BR,2012,35-39,F,K80,21,28,7470921
BR,2012,35-39,M,K80,7,15,7099826
BR,2012,40-44,F,K80,24,41,6855954
BR,2012,40-44,M,K80,16,25,6421655
BR,2012,45-49,F,K80,38,54,6462955
BR,2012,45-49,M,K80,15,27,5948125
BR,2012,5-9,F,K80,0,0,7569606
BR,2012,5-9,M,K80,0,1,7921789
BR,2012,50-54,F,K80,54,84,5695367
BR,2012,50-54,M,K80,28,49,5184257
BR,2012,55-59,F,K80,49,79,4730221
BR,2012,55-59,M,K80,52,82,4250290
BR,2012,60-64,F,K80,82,126,3745698
BR,2012,60-64,M,K80,59,80,3312928
BR,2012,65-69,F,K80,114,160,2818255
BR,2012,65-69,M,K80,66,101,2425459
BR,2012,70-74,F,K80,121,190,2176358
BR,2012,70-74,M,K80,92,133,1760793
BR,2012,75-79,F,K80,160,237,1628848
BR,2012,75-79,M,K80,90,133,1200455
BR,2012,80-84,F,K80,179,254,1080514
BR,2012,80-84,M,K80,101,153,712708
BR,2012,85+,F,K80,263,400,895787
BR,2012,85+,M,K80,128,184,515680
BR,2013,0-4,F,K80,0,0,7121178
BR,2013,0-4,M,K80,1,1,7463884
BR,2013,10-14,F,K80,1,1,8138707
BR,2013,10-14,M,K80,1,2,8426065
BR,2013,15-19,F,K80,0,3,8561467
BR,2013,15-19,M,K80,2,3,8644694
BR,2013,20-24,F,K80,4,6,8488814
BR,2013,20-24,M,K80,1,1,8412732
BR,2013,25-29,F,K80,7,15,8724932
BR,2013,25-29,M,K80,4,6,8524675
BR,2013,30-34,F,K80,22,30,8648899
BR,2013,30-34,M,K80,13,17,8310811
BR,2013,35-39,F,K80,24,34,7660500
BR,2013,35-39,M,K80,10,16,7282908
BR,2013,40-44,F,K80,31,40,6928918
BR,2013,40-44,M,K80,17,23,6497525
BR,2013,45-49,F,K80,43,59,6540506
BR,2013,45-49,M,K80,25,40,6021673
BR,2013,5-9,F,K80,0,0,7454699
BR,2013,5-9,M,K80,0,0,7805624
BR,2013,50-54,F,K80,46,74,5850019
BR,2013,50-54,M,K80,35,55,5313955
BR,2013,55-59,F,K80,71,110,4896250
BR,2013,55-59,M,K80,45,85,4391704
BR,2013,60-64,F,K80,91,127,3903087
BR,2013,60-64,M,K80,60,91,3437752
BR,2013,65-69,F,K80,97,159,2951155
BR,2013,65-69,M,K80,58,96,2536782
BR,2013,70-74,F,K80,147,214,2228456
BR,2013,70-74,M,K80,82,129,1804579
BR,2013,75-79,F,K80,160,221,1687030
BR,2013,75-79,M,K80,104,146,1248516
BR,2013,80-84,F,K80,159,234,1112004
BR,2013,80-84,M,K80,113,149,732403
BR,2013,85+,F,K80,285,431,937332
BR,2013,85+,M,K80,118,169,536467
BR,2014,0-4,F,K80,0,2,7115554
BR,2014,0-4,M,K80,0,0,7461659
BR,2014,10-14,F,K80,0,0,7978298
BR,2014,10-14,M,K80,0,1,8293387
BR,2014,15-19,F,K80,2,4,8523697
BR,2014,15-19,M,K80,0,0,8643609
BR,2014,20-24,F,K80,10,19,8471662
BR,2014,20-24,M,K80,4,5,8409991
BR,2014,25-29,F,K80,8,13,8633807
BR,2014,25-29,M,K80,0,4,8450017
BR,2014,30-34,F,K80,21,30,8708662
BR,2014,30-34,M,K80,6,11,8384967
BR,2014,35-39,F,K80,19,30,7877867
BR,2014,35-39,M,K80,10,18,7491084
BR,2014,40-44,F,K80,38,47,7011991
BR,2014,40-44,M,K80,18,30,6583218
BR,2014,45-49,F,K80,45,66,6600591
BR,2014,45-49,M,K80,27,39,6083062
BR,2014,5-9,F,K80,1,1,7355032
BR,2014,5-9,M,K80,0,0,7702044
BR,2014,50-54,F,K80,58,82,5998567
BR,2014,50-54,M,K80,37,59,5439538
BR,2014,55-59,F,K80,79,109,5061785
