age_group,population,weight,weight_per_100000,seer_adjusted_standard_population,exact_seer_match,status,official_url,access_date,local_source_path,local_source_sha256,official_page_sha256
0-4,88569,0.088569,8856.9,88569,True,VERIFIED_SEER_2026-08-16,http[local file not redistributed],2026-08-23,[local file not redistributed],f02c82c2246c56053907fad197304d38df5d066c4ee306fc4ca4fc8315a76d62,987de7cb1339ec67eee8e5be2a92ebe695affd4bea2ee5c41ad3669a71c8554f
5-9,86870,0.08687,8687.0,86870,True,VERIFIED_SEER_2026-08-16,http[local file not redistributed],2026-08-23,[local file not redistributed],f02c82c2246c56053907fad197304d38df5d066c4ee306fc4ca4fc8315a76d62,987de7cb1339ec67eee8e5be2a92ebe695affd4bea2ee5c41ad3669a71c8554f
10-14,85970,0.08597,8597.0,85970,True,VERIFIED_SEER_2026-08-16,http[local file not redistributed],2026-08-23,[local file not redistributed],f02c82c2246c56053907fad197304d38df5d066c4ee306fc4ca4fc8315a76d62,987de7cb1339ec67eee8e5be2a92ebe695affd4bea2ee5c41ad3669a71c8554f
15-19,84670,0.08467,8467.0,84670,True,VERIFIED_SEER_2026-08-16,http[local file not redistributed],2026-08-23,[local file not redistributed],f02c82c2246c56053907fad197304d38df5d066c4ee306fc4ca4fc8315a76d62,987de7cb1339ec67eee8e5be2a92ebe695affd4bea2ee5c41ad3669a71c8554f
20-24,82171,0.082171,8217.1,82171,True,VERIFIED_SEER_2026-08-16,http[local file not redistributed],2026-08-23,[local file not redistributed],f02c82c2246c56053907fad197304d38df5d066c4ee306fc4ca4fc8315a76d62,987de7cb1339ec67eee8e5be2a92ebe695affd4bea2ee5c41ad3669a71c8554f
25-29,79272,0.079272,7927.2,79272,True,VERIFIED_SEER_2026-08-16,http[local file not redistributed],2026-08-23,[local file not redistributed],f02c82c2246c56053907fad197304d38df5d066c4ee306fc4ca4fc8315a76d62,987de7cb1339ec67eee8e5be2a92ebe695affd4bea2ee5c41ad3669a71c8554f
30-34,76073,0.076073,7607.3,76073,True,VERIFIED_SEER_2026-08-16,http[local file not redistributed],2026-08-23,[local file not redistributed],f02c82c2246c56053907fad197304d38df5d066c4ee306fc4ca4fc8315a76d62,987de7cb1339ec67eee8e5be2a92ebe695affd4bea2ee5c41ad3669a71c8554f
35-39,71475,0.071475,7147.5,71475,True,VERIFIED_SEER_2026-08-16,http[local file not redistributed],2026-08-23,[local file not redistributed],f02c82c2246c56053907fad197304d38df5d066c4ee306fc4ca4fc8315a76d62,987de7cb1339ec67eee8e5be2a92ebe695affd4bea2ee5c41ad3669a71c8554f
40-44,65877,0.065877,6587.7,65877,True,VERIFIED_SEER_2026-08-16,http[local file not redistributed],2026-08-23,[local file not redistributed],f02c82c2246c56053907fad197304d38df5d066c4ee306fc4ca4fc8315a76d62,987de7cb1339ec67eee8e5be2a92ebe695affd4bea2ee5c41ad3669a71c8554f
45-49,60379,0.060379,6037.9,60379,True,VERIFIED_SEER_2026-08-16,http[local file not redistributed],2026-08-23,[local file not redistributed],f02c82c2246c56053907fad197304d38df5d066c4ee306fc4ca4fc8315a76d62,987de7cb1339ec67eee8e5be2a92ebe695affd4bea2ee5c41ad3669a71c8554f
50-54,53681,0.053681,5368.1,53681,True,VERIFIED_SEER_2026-08-16,http[local file not redistributed],2026-08-23,[local file not redistributed],f02c82c2246c56053907fad197304d38df5d066c4ee306fc4ca4fc8315a76d62,987de7cb1339ec67eee8e5be2a92ebe695affd4bea2ee5c41ad3669a71c8554f
55-59,45484,0.045484,4548.4,45484,True,VERIFIED_SEER_2026-08-16,http[local file not redistributed],2026-08-23,[local file not redistributed],f02c82c2246c56053907fad197304d38df5d066c4ee306fc4ca4fc8315a76d62,987de7cb1339ec67eee8e5be2a92ebe695affd4bea2ee5c41ad3669a71c8554f
60-64,37187,0.037187,3718.7,37187,True,VERIFIED_SEER_2026-08-16,http[local file not redistributed],2026-08-23,[local file not redistributed],f02c82c2246c56053907fad197304d38df5d066c4ee306fc4ca4fc8315a76d62,987de7cb1339ec67eee8e5be2a92ebe695affd4bea2ee5c41ad3669a71c8554f
