specification,display_group,omitted_year,display_once,us_rate,br_rate,br_us_rr,lower,upper,converged,pearson_dispersion,model_years,uncertainty
year_factor,time_form,,TRUE,1.73506322764576,4.21104496746218,2.4270268082253,2.39866268407204,2.45572633741252,TRUE,2.25555719752856,2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024,quasi-Poisson model-conditional pointwise delta interval
spline_df2,time_form,,TRUE,1.7346539858431,4.21099637303499,2.42757138161378,2.39790111220328,2.45760877412307,TRUE,2.4681196303355,2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024,quasi-Poisson model-conditional pointwise delta interval
spline_df3,time_form,,TRUE,1.73469731006407,4.21098445382161,2.42750388173835,2.39811680575194,2.45725107372618,TRUE,2.4211078710669,2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024,quasi-Poisson model-conditional pointwise delta interval
spline_df4,time_form,,TRUE,1.73490440087936,4.21096052347321,2.42720032374051,2.39832830159465,2.45641991867789,TRUE,2.33714782203626,2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024,quasi-Poisson model-conditional pointwise delta interval
spline_df5,time_form,,TRUE,1.73499403249048,4.21101255563349,2.42710492184739,2.39844640928203,2.45610586872326,TRUE,2.30272749622494,2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024,quasi-Poisson model-conditional pointwise delta interval
pre_covid_post,time_form,,TRUE,1.73619816206284,4.2110415010238,2.42543828984389,2.39579204616255,2.45545138496621,TRUE,2.47455659122074,2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024,quasi-Poisson model-conditional pointwise delta interval
leave_one_year_omit_2012,leave_one_year,2012,TRUE,1.75187786050639,4.2122540563745,2.40442222105422,2.37559521421919,2.43359903341088,TRUE,2.22917665778503,2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024,quasi-Poisson model-conditional pointwise delta interval
leave_one_year_omit_2013,leave_one_year,2013,TRUE,1.75209236187268,4.21353527660316,2.40485910919652,2.37596137923386,2.43410830901231,TRUE,2.23404941004706,2012;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024,quasi-Poisson model-conditional pointwise delta interval
leave_one_year_omit_2014,leave_one_year,2014,TRUE,1.75068802676404,4.21531175431887,2.40780292655021,2.37843046646115,2.43753812224322,TRUE,2.29824748510626,2012;2013;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024,quasi-Poisson model-conditional pointwise delta interval
leave_one_year_omit_2015,leave_one_year,2015,TRUE,1.74727859804772,4.21895416516092,2.41458584216327,2.38519351564304,2.44434036523175,TRUE,2.28177588902541,2012;2013;2014;2016;2017;2018;2019;2020;2021;2022;2023;2024,quasi-Poisson model-conditional pointwise delta interval
leave_one_year_omit_2016,leave_one_year,2016,TRUE,1.74372214286002,4.21924398598343,2.4196767835173,2.39018937576337,2.44952797299701,TRUE,2.28072765414434,2012;2013;2014;2015;2017;2018;2019;2020;2021;2022;2023;2024,quasi-Poisson model-conditional pointwise delta interval
leave_one_year_omit_2017,leave_one_year,2017,TRUE,1.74328022662094,4.21436109608301,2.41748918603399,2.38776234696365,2.44758611426427,TRUE,2.31612777688888,2012;2013;2014;2015;2016;2018;2019;2020;2021;2022;2023;2024,quasi-Poisson model-conditional pointwise delta interval
leave_one_year_omit_2018,leave_one_year,2018,TRUE,1.74354462744513,4.21974291556088,2.42020929613038,2.39076158544817,2.45001972289005,TRUE,2.26451513547003,2012;2013;2014;2015;2016;2017;2019;2020;2021;2022;2023;2024,quasi-Poisson model-conditional pointwise delta interval
leave_one_year_omit_2019,leave_one_year,2019,TRUE,1.74218573263922,4.21452536494342,2.41910221510015,2.38956516839903,2.44900436468248,TRUE,2.27359650675952,2012;2013;2014;2015;2016;2017;2018;2020;2021;2022;2023;2024,quasi-Poisson model-conditional pointwise delta interval
leave_one_year_omit_2020,leave_one_year,2020,TRUE,1.7304920567377,4.2379778745844,2.44900163400564,2.41929397528032,2.47907408716932,TRUE,2.24040321444752,2012;2013;2014;2015;2016;2017;2018;2019;2021;2022;2023;2024,quasi-Poisson model-conditional pointwise delta interval
leave_one_year_omit_2021,leave_one_year,2021,TRUE,1.71354302746192,4.21588197709776,2.46033038536668,2.43026414468307,2.49076859336537,TRUE,2.25265711049901,2012;2013;2014;2015;2016;2017;2018;2019;2020;2022;2023;2024,quasi-Poisson model-conditional pointwise delta interval
leave_one_year_omit_2022,leave_one_year,2022,TRUE,1.70915669425203,4.19884543237386,2.45667670289959,2.42657985148563,2.48714684533239,TRUE,2.25429085853106,2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2023;2024,quasi-Poisson model-conditional pointwise delta interval
leave_one_year_omit_2023,leave_one_year,2023,TRUE,1.715944626151,4.18337871326533,2.43794505341876,2.40824138043137,2.46801509673601,TRUE,2.22263795028409,2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2024,quasi-Poisson model-conditional pointwise delta interval
leave_one_year_omit_2024_exclude_2024,leave_one_year_and_exclude_2024,2024,TRUE,1.71192126888289,4.17977024939854,2.44156686722284,2.41203245604319,2.47146291592587,TRUE,2.18432119741455,2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023,quasi-Poisson model-conditional pointwise delta interval
