country,year,action,cache_file,cache_sha256,raw_sha256,parquet_sha256,input_sha256,parser_sha256,eligible_records,record_rows,cache_validated
BR,2012,REUSED,subcode_records_br_2012.rds,c8a9d7a302a1e170232fb155836999a7dc54a2ab3e4c9761ba39161d3b41b054,31fe02bbd54e275e1fff6eafcc509af4804f6cf8ac5787782a9b4c8d7283f8ce,b347b1f4d8c1107876a332c1bdd31edce3e8f379f59e30dc92e9995cfdb2926e,cbab3c0c63c518ea0304b06ed7c28b7c73dd18dbfb6ab705386d4d9ee9620b6f,aa7038d9bc10a34136aa3b2f45178c2b3af17a118c7dbb0a158ec36676b8d66d,1174450,4697800,TRUE
BR,2013,REUSED,subcode_records_br_2013.rds,70cca144b7a8254ca2b3720efc38333ccf94d066a5b552d147ee176bb2d0cfde,98491e61587590667ca88acf63af47e3ad3755aabd082380cfd831c70f7b6a29,452ea2bcaca9af46b9db72ae8adf597bf5cbd4ce43f0834544601128ead988e9,dbfc91b7cadd9c5e3a5c1063daf927ccdbcccb75a1ee97d71b12b19aab326974,aa7038d9bc10a34136aa3b2f45178c2b3af17a118c7dbb0a158ec36676b8d66d,1203608,4814432,TRUE
BR,2014,REUSED,subcode_records_br_2014.rds,46e8643419d19ef89269e580b56c7561afba565bdcac30dc4726ea7f4dd8d9fc,a66f562380838d050e0460c10d18b01e534f2b206a86de322fe5cace512d0d1a,30b639e18c19280940687cfcb858e3db9d2c19a43bd667a7c9d88b28644ef7a0,b4cc81ca404249cee0e349f5f2f356860e8fbf0bc13e8b8f9119c4656913e61e,aa7038d9bc10a34136aa3b2f45178c2b3af17a118c7dbb0a158ec36676b8d66d,1220271,4881084,TRUE
BR,2015,REUSED,subcode_records_br_2015.rds,d838266cefedef0950d2ed0ebe6cc4c13c57637055609ff6435a4e2b6ab4fa3d,4a7c1cc3444c730cfecfbbe0f682072a5efb36e7dafa5ab0f88348766a6d29d4,d30bcf14cbfd036386e4903b079039403daf47f7520ab5dff29de96cd98e5344,051ed3cc6050eaa8b323f4befbcfa5fd8304ab66a612cb1b74c894d58d10db54,aa7038d9bc10a34136aa3b2f45178c2b3af17a118c7dbb0a158ec36676b8d66d,1257781,5031124,TRUE
BR,2016,REUSED,subcode_records_br_2016.rds,5e98c01a11becee2a31de0f48964edaf4cae29c8eca2d0dba4e6ae91f01ed9ff,55476c5591858484db259fdf469bf3787e6042aec96f323eccdb3e35528abb17,18dc080db21af124acd4fb272b976ef906e95d89e0e494a3e910352774054af0,6381042fffaae0f823d3b57466dbc91059cf078da84a634627618db3c6d30242,aa7038d9bc10a34136aa3b2f45178c2b3af17a118c7dbb0a158ec36676b8d66d,1303606,5214424,TRUE
BR,2017,REUSED,subcode_records_br_2017.rds,a0219f50e671a21b8d48a20b096c9e598f75eada44be3edcc7306c28768078cc,c2ab78d74faeefecb2d6546f1992b14522666684e9e0177a67e0d04df9232893,20ee59cdcbfd0846c5145258cae43765a10f228d0926b86d94517585f5663864,57a008850a85de97acc38c78291732908af75f6990f983b16d7220e08747e38a,aa7038d9bc10a34136aa3b2f45178c2b3af17a118c7dbb0a158ec36676b8d66d,1306617,5226468,TRUE
BR,2018,REUSED,subcode_records_br_2018.rds,2c37cc838831acba2c56359a21a942ca452c75a686e9b2c7f577227456936664,9d9807bde1a745562504473332add042031b43212792d8aba7d746e11b6dd1f4,0aab49cfc55fc0e6bad8a8186ba874e5e66cedd34e786c76ba2ca7f14c4cc211,a672793809727724bf4ef73dd147719af09a7dfd3b382d10cc11b87aa421bcf5,aa7038d9bc10a34136aa3b2f45178c2b3af17a118c7dbb0a158ec36676b8d66d,1310908,5243632,TRUE
BR,2019,REUSED,subcode_records_br_2019.rds,b28d1ef5b95aca691e50b1f35e2163d79493f1f1cbc3c2808f2a13f597ace7e0,66501b7348ad77d8e88bcb6306d86dc555496fe65258333440998f2472c66480,1fa9b86d255a7a9d59b24bd9bd43923545bfde33a82c2de155180951bccc7fb6,7b7e37de73f7783d261f23a0f9a160e50f9be1b94aa0544c09372f3e89411e8b,aa7038d9bc10a34136aa3b2f45178c2b3af17a118c7dbb0a158ec36676b8d66d,1344449,5377796,TRUE
BR,2020,REUSED,subcode_records_br_2020.rds,efec28b780d5d5280485ed3d78e3e2544f5a533802259577d3fc143e50b3ef9a,ac626dff18876eaa572f724966fb05cd5f42529fc6bdd5507ce5dfbd08146142,47343823de14f757588e494f8be5642079f0e93bb189a533ef08ef0e4500dabb,29a36630a808e33a32bae3616c5db965c82f993323228c0c4f1672f2e6522c59,aa7038d9bc10a34136aa3b2f45178c2b3af17a118c7dbb0a158ec36676b8d66d,1551635,6206540,TRUE
BR,2021,REUSED,subcode_records_br_2021.rds,4f005546ea2e4e806aa9f06f9b4498cfc2d6231b72340e298f285970a9d9cc67,6a8fe8077cf11cbf2ae8d783d4b786968de4e7606ca52c2a04c97d864aa89e4f,a3ae0028d0165b4430e2e3f41e66646200fa626c18ab9ba3f1bf950b8006dfd5,298da9e183a7be5e7c96b050d993d9791fcf8187a9c5355982ebdf6a20a78b3d,aa7038d9bc10a34136aa3b2f45178c2b3af17a118c7dbb0a158ec36676b8d66d,1827250,7309000,TRUE
BR,2022,REUSED,subcode_records_br_2022.rds,7c3db25a017363aaac8f9e08afe4609dfb12c6cdc9c21c80277f025032d0ca45,044568561aa08b8c93aafbe2eaa13e10ff4234fac37f8d30b917e4c3562f3f7d,857499c80ca89b863e731dbf4ed3fdd13f021346c1c57949e2975119e9a3acdc,ba3038eb7b664ecf290316ad1d9ad18f21c3d2ed3388eb108eb8036227c106e7,aa7038d9bc10a34136aa3b2f45178c2b3af17a118c7dbb0a158ec36676b8d66d,1539083,6156332,TRUE
BR,2023,REUSED,subcode_records_br_2023.rds,00340bfa37125a9ffe9f3f894baf083e47912f5b13596b11378a12be3054456b,b07c9a8ae98b3d7cb1fed4bc13b6aa5cc23e48311435db509eb5c652ce204126,5f1cb060c8c48fec541fb4c687d238b6e98600a83710a7dea90fbe8d778ccd95,5337eea746e7332e57c1bf5a510a853374acf5b0d8e69c5260dab4476dfdfa81,aa7038d9bc10a34136aa3b2f45178c2b3af17a118c7dbb0a158ec36676b8d66d,1460895,5843580,TRUE
BR,2024,REUSED,subcode_records_br_2024.rds,596cd5cf6a5da6afb78ec4bf3a139dca5deeb1eddef483bd710f22c59ea34e04,13db250c90908e85d1ef9fb9cd7caa08583fb1912108b0f3260605aca0e9b787,4d02cfefd2fb75125881a480980a44a4015f80c5d0d3eebaa9e21a1f43605eae,e0a13574a03dece3d8e24e97367dc77971b61d6ddcf7c0060bd4aa730f75f87e,aa7038d9bc10a34136aa3b2f45178c2b3af17a118c7dbb0a158ec36676b8d66d,1527504,6110016,TRUE
US,2012,REUSED,subcode_records_us_2012.rds,1c9b2dd9f0e0a080b8b72da60eb556676b96599fc191c722bbb05791df376b32,70c91e78b6ab89b2847e6fd7cb13e0031296b8ccb35c75882340be4606fe7ab4,6b5b324c85b1f40c65d1a4a3ea872dfb8ea872129373de979600ffde9ae02a16,5365ea8af47adc0375e788e49eae6d672aee09b59a87d22cb2a0b2f91200f97f,aa7038d9bc10a34136aa3b2f45178c2b3af17a118c7dbb0a158ec36676b8d66d,2543132,10172528,TRUE
US,2013,REUSED,subcode_records_us_2013.rds,81baf15fce46e963904585676e664e7e9be42c5d2300915615a9be07b0093e2f,7683a57119db0088bfc78cfa5c2fbc22748762b830b1283e341acac9af7763e6,75afb1b3fdc8d543c0548cc310cd05a0bf88ca5ca3c9928895f436fad36b8e11,2a5c03c40be908c479b2baa7f2687fe1e95d00ccb89906291956c7ca73c25b4c,aa7038d9bc10a34136aa3b2f45178c2b3af17a118c7dbb0a158ec36676b8d66d,2596861,10387444,TRUE
US,2014,REUSED,subcode_records_us_2014.rds,ce377d9eb0f229992335dc6f0877e503d806feb8e3202cc88687aa5c166b75e7,44fb969d47cd0ed1d406eceea8f5edf0f85e70ecd5a0a7cf239ed3351d219e5a,e569a8921155151422fb4bb3ff1cfcb76d895ba27b98c7315e7d96946ae8451b,e99dc0e7fa117058d45d0f0481ba1a554c907a0d0b83d0d83cdecce5b681a3dd,aa7038d9bc10a34136aa3b2f45178c2b3af17a118c7dbb0a158ec36676b8d66d,2626255,10505020,TRUE
