aggregation,country,year,ucd_count,any_common_count,crude_selection_probability,estimand,interpretation
country_overall_2012_2024,BR,,76121,130198,0.584655678274628,representation-count-weighted crude sum(ucd)/sum(any_common),"Crude descriptive proportion weighted by observed representation counts; it is not the WHO18-age, sex-0.5/0.5, year-equal standardized estimand."
country_overall_2012_2024,US,,70668,141449,0.499600562746997,representation-count-weighted crude sum(ucd)/sum(any_common),"Crude descriptive proportion weighted by observed representation counts; it is not the WHO18-age, sex-0.5/0.5, year-equal standardized estimand."
country_year,BR,2012,4765,8240,0.578276699029126,representation-count-weighted crude sum(ucd)/sum(any_common),"Crude descriptive proportion weighted by observed representation counts; it is not the WHO18-age, sex-0.5/0.5, year-equal standardized estimand."
country_year,BR,2013,4993,8481,0.588727744369768,representation-count-weighted crude sum(ucd)/sum(any_common),"Crude descriptive proportion weighted by observed representation counts; it is not the WHO18-age, sex-0.5/0.5, year-equal standardized estimand."
country_year,BR,2014,5154,8700,0.592413793103448,representation-count-weighted crude sum(ucd)/sum(any_common),"Crude descriptive proportion weighted by observed representation counts; it is not the WHO18-age, sex-0.5/0.5, year-equal standardized estimand."
country_year,BR,2015,5389,8901,0.605437591281878,representation-count-weighted crude sum(ucd)/sum(any_common),"Crude descriptive proportion weighted by observed representation counts; it is not the WHO18-age, sex-0.5/0.5, year-equal standardized estimand."
country_year,BR,2016,5440,9163,0.593692022263451,representation-count-weighted crude sum(ucd)/sum(any_common),"Crude descriptive proportion weighted by observed representation counts; it is not the WHO18-age, sex-0.5/0.5, year-equal standardized estimand."
country_year,BR,2017,5679,9589,0.592241109604755,representation-count-weighted crude sum(ucd)/sum(any_common),"Crude descriptive proportion weighted by observed representation counts; it is not the WHO18-age, sex-0.5/0.5, year-equal standardized estimand."
country_year,BR,2018,5851,9731,0.601274278080362,representation-count-weighted crude sum(ucd)/sum(any_common),"Crude descriptive proportion weighted by observed representation counts; it is not the WHO18-age, sex-0.5/0.5, year-equal standardized estimand."
country_year,BR,2019,6093,10210,0.596767874632713,representation-count-weighted crude sum(ucd)/sum(any_common),"Crude descriptive proportion weighted by observed representation counts; it is not the WHO18-age, sex-0.5/0.5, year-equal standardized estimand."
country_year,BR,2020,5579,9790,0.569867211440245,representation-count-weighted crude sum(ucd)/sum(any_common),"Crude descriptive proportion weighted by observed representation counts; it is not the WHO18-age, sex-0.5/0.5, year-equal standardized estimand."
country_year,BR,2021,6111,10692,0.571548821548822,representation-count-weighted crude sum(ucd)/sum(any_common),"Crude descriptive proportion weighted by observed representation counts; it is not the WHO18-age, sex-0.5/0.5, year-equal standardized estimand."
country_year,BR,2022,6578,11489,0.572547654278005,representation-count-weighted crude sum(ucd)/sum(any_common),"Crude descriptive proportion weighted by observed representation counts; it is not the WHO18-age, sex-0.5/0.5, year-equal standardized estimand."
country_year,BR,2023,7106,12339,0.575897560580274,representation-count-weighted crude sum(ucd)/sum(any_common),"Crude descriptive proportion weighted by observed representation counts; it is not the WHO18-age, sex-0.5/0.5, year-equal standardized estimand."
country_year,BR,2024,7383,12873,0.57352598461897,representation-count-weighted crude sum(ucd)/sum(any_common),"Crude descriptive proportion weighted by observed representation counts; it is not the WHO18-age, sex-0.5/0.5, year-equal standardized estimand."
country_year,US,2012,4491,8598,0.522330774598744,representation-count-weighted crude sum(ucd)/sum(any_common),"Crude descriptive proportion weighted by observed representation counts; it is not the WHO18-age, sex-0.5/0.5, year-equal standardized estimand."
country_year,US,2013,4590,8821,0.520349166761138,representation-count-weighted crude sum(ucd)/sum(any_common),"Crude descriptive proportion weighted by observed representation counts; it is not the WHO18-age, sex-0.5/0.5, year-equal standardized estimand."
country_year,US,2014,4808,9008,0.533747779751332,representation-count-weighted crude sum(ucd)/sum(any_common),"Crude descriptive proportion weighted by observed representation counts; it is not the WHO18-age, sex-0.5/0.5, year-equal standardized estimand."
country_year,US,2015,5078,9485,0.53537163943068,representation-count-weighted crude sum(ucd)/sum(any_common),"Crude descriptive proportion weighted by observed representation counts; it is not the WHO18-age, sex-0.5/0.5, year-equal standardized estimand."
country_year,US,2016,5206,9897,0.526017985248055,representation-count-weighted crude sum(ucd)/sum(any_common),"Crude descriptive proportion weighted by observed representation counts; it is not the WHO18-age, sex-0.5/0.5, year-equal standardized estimand."
country_year,US,2017,5227,10126,0.516195931266048,representation-count-weighted crude sum(ucd)/sum(any_common),"Crude descriptive proportion weighted by observed representation counts; it is not the WHO18-age, sex-0.5/0.5, year-equal standardized estimand."
country_year,US,2018,5273,10333,0.510306784089809,representation-count-weighted crude sum(ucd)/sum(any_common),"Crude descriptive proportion weighted by observed representation counts; it is not the WHO18-age, sex-0.5/0.5, year-equal standardized estimand."
country_year,US,2019,5358,10642,0.503476790077053,representation-count-weighted crude sum(ucd)/sum(any_common),"Crude descriptive proportion weighted by observed representation counts; it is not the WHO18-age, sex-0.5/0.5, year-equal standardized estimand."
country_year,US,2020,5594,11591,0.482615822620999,representation-count-weighted crude sum(ucd)/sum(any_common),"Crude descriptive proportion weighted by observed representation counts; it is not the WHO18-age, sex-0.5/0.5, year-equal standardized estimand."
