specification,display_group,omitted_year,display_once,us_selection,br_selection,risk_difference,rd_lower,rd_upper,risk_ratio,rr_lower,rr_upper,converged,pearson_dispersion,model_years,uncertainty
year_factor,time_form,,TRUE,0.367551229413846,0.527255407194976,0.15970417778113,0.125263131222327,0.194145224339933,1.43450862084129,1.31645899295308,1.56314400545959,TRUE,1.27964661521619,2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024,quasibinomial model-conditional pointwise delta interval
spline_df2,time_form,,TRUE,0.367280853375263,0.527480050037473,0.16019919666221,0.125284599668711,0.195113793655709,1.43617628087607,1.3163984616609,1.5668525676858,TRUE,1.31758088039568,2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024,quasibinomial model-conditional pointwise delta interval
spline_df3,time_form,,TRUE,0.367350556894549,0.527477749266785,0.160127192372236,0.12564712988973,0.194607254854742,1.43589750816194,1.3175822959226,1.56483709619213,TRUE,1.28421029122933,2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024,quasibinomial model-conditional pointwise delta interval
spline_df4,time_form,,TRUE,0.367386746329343,0.527488419139049,0.160101672809706,0.125641486649733,0.194561858969679,1.435785107681,1.31754954830324,1.5646310061685,TRUE,1.28228530112335,2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024,quasibinomial model-conditional pointwise delta interval
spline_df5,time_form,,TRUE,0.367402019268801,0.527495715082957,0.160093695814156,0.125572944542385,0.194614447085927,1.43574528015053,1.31731591116647,1.56482168931614,TRUE,1.28652194807265,2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024,quasibinomial model-conditional pointwise delta interval
pre_covid_post,time_form,,TRUE,0.36725256438902,0.527328130001549,0.16007556561253,0.125207304721232,0.194943826503827,1.43587324129061,1.31622918003747,1.5663928412495,TRUE,1.31169581190554,2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024,quasibinomial model-conditional pointwise delta interval
leave_one_year_omit_2012,leave_one_year,2012,TRUE,0.361982772868022,0.529736487059678,0.167753714191656,0.13297702398463,0.202530404398682,1.4634301043183,1.34128629403643,1.59669690188224,TRUE,1.26753425166751,2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024,quasibinomial model-conditional pointwise delta interval
leave_one_year_omit_2013,leave_one_year,2013,TRUE,0.368834433841482,0.53123150009087,0.162397066249388,0.126647667066332,0.198146465432443,1.44029800731453,1.31862662441315,1.57319616597112,TRUE,1.2645985210348,2012;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024,quasibinomial model-conditional pointwise delta interval
leave_one_year_omit_2014,leave_one_year,2014,TRUE,0.362826548265654,0.526524349811224,0.16369780154557,0.128473041210752,0.198922561880388,1.45117371462497,1.32774404993785,1.58607764057915,TRUE,1.24924360493191,2012;2013;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024,quasibinomial model-conditional pointwise delta interval
leave_one_year_omit_2015,leave_one_year,2015,TRUE,0.367638293048699,0.529911887428047,0.162273594379348,0.126065854762201,0.198481333996494,1.44139470084487,1.31679536562167,1.57778401858424,TRUE,1.28154155594504,2012;2013;2014;2016;2017;2018;2019;2020;2021;2022;2023;2024,quasibinomial model-conditional pointwise delta interval
leave_one_year_omit_2016,leave_one_year,2016,TRUE,0.363306661928291,0.524880589041934,0.161573927113642,0.12577167562436,0.197376178602925,1.44473152861021,1.31982498282586,1.58145906989229,TRUE,1.27788334672079,2012;2013;2014;2015;2017;2018;2019;2020;2021;2022;2023;2024,quasibinomial model-conditional pointwise delta interval
leave_one_year_omit_2017,leave_one_year,2017,TRUE,0.368899568544608,0.521378201305516,0.152478632760908,0.115969784146648,0.188987481375169,1.41333372484677,1.28999646505981,1.54846332675541,TRUE,1.30449766838758,2012;2013;2014;2015;2016;2018;2019;2020;2021;2022;2023;2024,quasibinomial model-conditional pointwise delta interval
leave_one_year_omit_2018,leave_one_year,2018,TRUE,0.368761844629125,0.521519781011921,0.152757936382796,0.11676360693723,0.188752265828362,1.41424550453811,1.29271075403195,1.54720639622437,TRUE,1.31077292137052,2012;2013;2014;2015;2016;2017;2019;2020;2021;2022;2023;2024,quasibinomial model-conditional pointwise delta interval
leave_one_year_omit_2019,leave_one_year,2019,TRUE,0.366239469208631,0.523898658189377,0.157659188980745,0.121909530111965,0.193408847849526,1.43048115300466,1.30830680534124,1.56406457625038,TRUE,1.28856371962923,2012;2013;2014;2015;2016;2017;2018;2020;2021;2022;2023;2024,quasibinomial model-conditional pointwise delta interval
leave_one_year_omit_2020,leave_one_year,2020,TRUE,0.372764220416933,0.527156430162877,0.154392209745945,0.117258864660563,0.191525554831327,1.41418194475119,1.28939086108707,1.5510506807642,TRUE,1.27694893865285,2012;2013;2014;2015;2016;2017;2018;2019;2021;2022;2023;2024,quasibinomial model-conditional pointwise delta interval
leave_one_year_omit_2021,leave_one_year,2021,TRUE,0.371022497868906,0.528296070439878,0.157273572570972,0.122047330902141,0.192499814239804,1.42389228004859,1.3054698341268,1.55305712332916,TRUE,1.27404305288309,2012;2013;2014;2015;2016;2017;2018;2019;2020;2022;2023;2024,quasibinomial model-conditional pointwise delta interval
leave_one_year_omit_2022,leave_one_year,2022,TRUE,0.365447254676622,0.5308433196552,0.165396064978578,0.130112310109176,0.20067981984798,1.45258532623247,1.33001739384396,1.58644852296828,TRUE,1.26906050158903,2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2023;2024,quasibinomial model-conditional pointwise delta interval
leave_one_year_omit_2023,leave_one_year,2023,TRUE,0.369909899826171,0.531551375546715,0.161641475720544,0.126046579012617,0.197236372428471,1.43697526288565,1.31646413712215,1.5685181600611,TRUE,1.28041024751348,2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2024,quasibinomial model-conditional pointwise delta interval
leave_one_year_omit_2024_exclude_2024,leave_one_year_and_exclude_2024,2024,TRUE,0.37079337118849,0.527952332612088,0.157158961423599,0.120531318342066,0.193786604505131,1.42384512139433,1.30017438197833,1.55927924578368,TRUE,1.29177791190717,2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023,quasibinomial model-conditional pointwise delta interval
