country,year,age_group,sex,any_common_mentions,unique_records,records_with_multiple_subcodes
US,2012,55-59,F,175,160,12
US,2012,85+,F,2099,1891,200
US,2012,85+,M,1271,1158,109
US,2012,50-54,M,188,172,14
US,2012,40-44,F,50,49,1
US,2012,30-34,F,16,14,2
US,2012,75-79,F,489,457,28
US,2012,65-69,F,345,319,24
US,2012,55-59,M,280,259,21
US,2012,80-84,F,678,617,60
US,2012,60-64,M,368,343,25
US,2012,80-84,M,734,685,47
US,2012,0-4,M,12,12,0
US,2012,70-74,M,467,437,29
US,2012,45-49,M,102,97,5
US,2012,30-34,M,25,24,1
US,2012,60-64,F,250,237,11
US,2012,70-74,F,385,362,22
US,2012,35-39,M,41,37,4
US,2012,75-79,M,561,521,38
US,2012,40-44,M,49,48,1
US,2012,65-69,M,417,382,33
US,2012,50-54,F,153,141,12
US,2012,45-49,F,72,70,2
US,2012,25-29,F,17,16,1
US,2012,5-9,M,1,1,0
US,2012,15-19,M,1,1,0
US,2012,35-39,F,22,22,0
US,2012,20-24,F,17,17,0
US,2012,0-4,F,8,8,0
US,2012,20-24,M,11,11,0
US,2012,25-29,M,25,23,2
US,2012,15-19,F,4,4,0
US,2012,10-14,M,0,0,0
US,2012,5-9,F,2,2,0
US,2012,10-14,F,1,1,0
US,2013,85+,M,1342,1212,121
US,2013,80-84,F,727,669,54
US,2013,70-74,M,486,458,27
US,2013,75-79,M,588,546,41
US,2013,85+,F,2152,1912,225
US,2013,65-69,F,326,309,15
US,2013,60-64,F,268,248,20
US,2013,20-24,F,12,11,1
US,2013,45-49,M,86,83,3
US,2013,60-64,M,342,316,25
US,2013,55-59,M,275,253,19
US,2013,65-69,M,485,446,36
US,2013,80-84,M,721,656,63
US,2013,75-79,F,521,485,35
US,2013,20-24,M,7,7,0
US,2013,45-49,F,87,78,9
US,2013,40-44,M,65,63,2
US,2013,50-54,M,180,165,13
US,2013,15-19,M,0,0,0
US,2013,50-54,F,149,135,12
US,2013,55-59,F,180,169,11
US,2013,70-74,F,439,410,26
US,2013,40-44,F,40,35,5
US,2013,15-19,F,3,3,0
US,2013,30-34,M,24,22,2
US,2013,35-39,F,32,31,1
US,2013,10-14,F,0,0,0
US,2013,25-29,M,12,12,0
US,2013,35-39,M,31,30,1
