country,year,age_group,sex,ucd,any_common,sum_subcode_mentions,n_records,ucd_frozen,any_common_frozen,ucd_abs_diff,any_common_abs_diff,ucd_match,any_common_match
BR,2012,0-4,F,8,17,17,19073,8,17,0,0,TRUE,TRUE
BR,2012,0-4,M,12,20,20,23542,12,20,0,0,TRUE,TRUE
BR,2012,10-14,F,3,5,6,2124,3,5,0,0,TRUE,TRUE
BR,2012,10-14,M,1,5,5,3586,1,5,0,0,TRUE,TRUE
BR,2012,15-19,F,5,10,13,4170,5,10,0,0,TRUE,TRUE
BR,2012,15-19,M,3,11,11,17099,3,11,0,0,TRUE,TRUE
BR,2012,20-24,F,16,22,24,4912,16,22,0,0,TRUE,TRUE
BR,2012,20-24,M,4,11,11,23161,4,11,0,0,TRUE,TRUE
BR,2012,25-29,F,27,40,44,5946,27,40,0,0,TRUE,TRUE
BR,2012,25-29,M,10,18,20,22511,10,18,0,0,TRUE,TRUE
BR,2012,30-34,F,42,63,67,8048,42,63,0,0,TRUE,TRUE
BR,2012,30-34,M,22,40,44,23204,22,40,0,0,TRUE,TRUE
BR,2012,35-39,F,51,84,93,9769,51,84,0,0,TRUE,TRUE
BR,2012,35-39,M,25,54,59,23511,25,54,0,0,TRUE,TRUE
BR,2012,40-44,F,75,120,127,13409,75,120,0,0,TRUE,TRUE
BR,2012,40-44,M,59,105,112,27155,59,105,0,0,TRUE,TRUE
BR,2012,45-49,F,94,187,202,18549,94,187,0,0,TRUE,TRUE
BR,2012,45-49,M,73,148,156,34416,73,148,0,0,TRUE,TRUE
BR,2012,5-9,F,1,1,1,1703,1,1,0,0,TRUE,TRUE
BR,2012,5-9,M,0,3,3,2246,0,3,0,0,TRUE,TRUE
BR,2012,50-54,F,137,255,281,24148,137,255,0,0,TRUE,TRUE
BR,2012,50-54,M,88,189,198,41939,88,189,0,0,TRUE,TRUE
BR,2012,55-59,F,148,308,328,29892,148,308,0,0,TRUE,TRUE
BR,2012,55-59,M,138,274,294,49390,138,274,0,0,TRUE,TRUE
BR,2012,60-64,F,207,383,415,35651,207,383,0,0,TRUE,TRUE
BR,2012,60-64,M,169,316,341,54585,169,316,0,0,TRUE,TRUE
