"panel","metric","country","representation","year","estimate","lower","upper","unit"
"b","direct_age_standardized_rate","BR","any_common",2012,4.2041804314505,4.11307543351949,4.297303413438,"per 100,000 population"
"b","direct_age_standardized_rate","BR","any_common",2013,4.1860646374167,4.09663013852851,4.27745160194637,"per 100,000 population"
"b","direct_age_standardized_rate","BR","any_common",2014,4.16841206244999,4.08045677305701,4.25826325060198,"per 100,000 population"
"b","direct_age_standardized_rate","BR","any_common",2015,4.11103179435952,4.02521805659745,4.19867499762761,"per 100,000 population"
"b","direct_age_standardized_rate","BR","any_common",2016,4.10953596996911,4.02500468449397,4.19584254237785,"per 100,000 population"
"b","direct_age_standardized_rate","BR","any_common",2017,4.1746353785154,4.09066843742427,4.2603258636444,"per 100,000 population"
"b","direct_age_standardized_rate","BR","any_common",2018,4.11457318257375,4.03237025500469,4.19845187920011,"per 100,000 population"
"b","direct_age_standardized_rate","BR","any_common",2019,4.17287208180922,4.09142058374983,4.25594510627988,"per 100,000 population"
"b","direct_age_standardized_rate","BR","any_common",2020,3.89891990674198,3.82125671066156,3.97816152910519,"per 100,000 population"
"b","direct_age_standardized_rate","BR","any_common",2021,4.15594277168622,4.07664222444678,4.23678590629199,"per 100,000 population"
"b","direct_age_standardized_rate","BR","any_common",2022,4.35893687760887,4.27861316887155,4.44076852780541,"per 100,000 population"
"b","direct_age_standardized_rate","BR","any_common",2023,4.55661422787677,4.47552392794085,4.63917377182738,"per 100,000 population"
"b","direct_age_standardized_rate","BR","any_common",2024,4.58977175427341,4.50969196737147,4.67127353902281,"per 100,000 population"
"b","direct_age_standardized_rate","BR","ucd",2012,2.415966088718,2.34729006881663,2.48665140255887,"per 100,000 population"
"b","direct_age_standardized_rate","BR","ucd",2013,2.4555597682008,2.38734637579749,2.52572221456223,"per 100,000 population"
"b","direct_age_standardized_rate","BR","ucd",2014,2.46107078090621,2.39374254906508,2.53029273803733,"per 100,000 population"
"b","direct_age_standardized_rate","BR","ucd",2015,2.47120968589614,2.40503486095003,2.53920531915058,"per 100,000 population"
"b","direct_age_standardized_rate","BR","ucd",2016,2.42794143294638,2.36324565010327,2.49440831576696,"per 100,000 population"
"b","direct_age_standardized_rate","BR","ucd",2017,2.4563815453353,2.39226918415824,2.52221210565272,"per 100,000 population"
"b","direct_age_standardized_rate","BR","ucd",2018,2.45458212476522,2.39142839197057,2.51940364488701,"per 100,000 population"
"b","direct_age_standardized_rate","BR","ucd",2019,2.46681968845166,2.40457352476516,2.5306771918846,"per 100,000 population"
"b","direct_age_standardized_rate","BR","ucd",2020,2.20702377690234,2.14887983377298,2.2667409667389,"per 100,000 population"
"b","direct_age_standardized_rate","BR","ucd",2021,2.34571239892119,2.28656223948431,2.40639269005577,"per 100,000 population"
"b","direct_age_standardized_rate","BR","ucd",2022,2.47293617211272,2.41280407369989,2.53456688754918,"per 100,000 population"
"b","direct_age_standardized_rate","BR","ucd",2023,2.60318244568802,2.54221284932045,2.66561426882476,"per 100,000 population"
"b","direct_age_standardized_rate","BR","ucd",2024,2.59653797514363,2.53678029125532,2.65770334135903,"per 100,000 population"
"a","direct_age_standardized_rate","US","any_common",2012,1.52561782483964,1.49159025294759,1.56042166598297,"per 100,000 population"
"a","direct_age_standardized_rate","US","any_common",2013,1.52576847895094,1.49220358464585,1.56008836549791,"per 100,000 population"
"a","direct_age_standardized_rate","US","any_common",2014,1.54363099091493,1.5100371853994,1.57797215800535,"per 100,000 population"
"a","direct_age_standardized_rate","US","any_common",2015,1.58496176480482,1.5513229830891,1.61932996756804,"per 100,000 population"
"a","direct_age_standardized_rate","US","any_common",2016,1.62777755078624,1.59390585087264,1.66236904983628,"per 100,000 population"
"a","direct_age_standardized_rate","US","any_common",2017,1.63570914924202,1.60206543139028,1.67005939238836,"per 100,000 population"
"a","direct_age_standardized_rate","US","any_common",2018,1.63145682382648,1.59820986237244,1.66539540937318,"per 100,000 population"
"a","direct_age_standardized_rate","US","any_common",2019,1.64664398694669,1.6135502777457,1.68041644387795,"per 100,000 population"
"a","direct_age_standardized_rate","US","any_common",2020,1.78895840226802,1.75443999849531,1.82415595163708,"per 100,000 population"
"a","direct_age_standardized_rate","US","any_common",2021,1.9900635302245,1.95388954527694,2.02690723429214,"per 100,000 population"
"a","direct_age_standardized_rate","US","any_common",2022,2.04503142423656,2.00826388139954,2.0824721117827,"per 100,000 population"
"a","direct_age_standardized_rate","US","any_common",2023,1.96437437796789,1.92907535390834,2.00031931826758,"per 100,000 population"
"a","direct_age_standardized_rate","US","any_common",2024,2.00940535223788,1.97364894679987,2.04580955298514,"per 100,000 population"
"a","direct_age_standardized_rate","US","ucd",2012,0.756728473612105,0.733381770519905,0.780818402902701,"per 100,000 population"
"a","direct_age_standardized_rate","US","ucd",2013,0.75758392731777,0.734546162632993,0.781344231481574,"per 100,000 population"
"a","direct_age_standardized_rate","US","ucd",2014,0.782916369288704,0.759632116143915,0.806914331652717,"per 100,000 population"
"a","direct_age_standardized_rate","US","ucd",2015,0.806020555402256,0.782680198974643,0.830056946096332,"per 100,000 population"
"a","direct_age_standardized_rate","US","ucd",2016,0.807023719389949,0.783823786149278,0.830910333631992,"per 100,000 population"
"a","direct_age_standardized_rate","US","ucd",2017,0.798766963414219,0.775998937628018,0.822203009442542,"per 100,000 population"
"a","direct_age_standardized_rate","US","ucd",2018,0.778639933737797,0.756530668570115,0.801395332137829,"per 100,000 population"
"a","direct_age_standardized_rate","US","ucd",2019,0.781764209228497,0.759747839403709,0.804418580920645,"per 100,000 population"
"a","direct_age_standardized_rate","US","ucd",2020,0.817770281197618,0.795175207014874,0.841007399263042,"per 100,000 population"
"a","direct_age_standardized_rate","US","ucd",2021,0.919119812383367,0.895354305025278,0.943516130736408,"per 100,000 population"
"a","direct_age_standardized_rate","US","ucd",2022,0.907632775354356,0.884054937732688,0.931839436370575,"per 100,000 population"
"a","direct_age_standardized_rate","US","ucd",2023,0.875500994328243,0.852871960502227,0.898730438527227,"per 100,000 population"
"a","direct_age_standardized_rate","US","ucd",2024,0.873023915217859,0.850420734628948,0.896227861700557,"per 100,000 population"
"c","system_specific_conditional_ucd_fraction","US","P(UCD | country-specific any_common)",2012,0.379656710475181,0.349280962044183,0.411005604720923,"proportion"
"c","system_specific_conditional_ucd_fraction","US","P(UCD | country-specific any_common)",2013,0.377168020040145,0.346870894892637,0.408456482199856,"proportion"
"c","system_specific_conditional_ucd_fraction","US","P(UCD | country-specific any_common)",2014,0.393329131686527,0.362495485620329,0.425036868864569,"proportion"
"c","system_specific_conditional_ucd_fraction","US","P(UCD | country-specific any_common)",2015,0.394204991786572,0.363418497910598,0.425854819871559,"proportion"
"c","system_specific_conditional_ucd_fraction","US","P(UCD | country-specific any_common)",2016,0.386258033102236,0.35584641063572,0.417583830070114,"proportion"
"c","system_specific_conditional_ucd_fraction","US","P(UCD | country-specific any_common)",2017,0.378151859814874,0.348088753004878,0.409181711502532,"proportion"
"c","system_specific_conditional_ucd_fraction","US","P(UCD | country-specific any_common)",2018,0.373223305795173,0.343374972423706,0.40406959384957,"proportion"
"c","system_specific_conditional_ucd_fraction","US","P(UCD | country-specific any_common)",2019,0.366773544940315,0.337220331851835,0.397363935664751,"proportion"
"c","system_specific_conditional_ucd_fraction","US","P(UCD | country-specific any_common)",2020,0.351126283029696,0.322417364706833,0.380954292892968,"proportion"
"c","system_specific_conditional_ucd_fraction","US","P(UCD | country-specific any_common)",2021,0.356774642779445,0.32785587913142,0.386776382687415,"proportion"
"c","system_specific_conditional_ucd_fraction","US","P(UCD | country-specific any_common)",2022,0.344109966993389,0.315823375959836,0.373546807016711,"proportion"
"c","system_specific_conditional_ucd_fraction","US","P(UCD | country-specific any_common)",2023,0.342332735829544,0.314093930279326,0.371734422834137,"proportion"
"c","system_specific_conditional_ucd_fraction","US","P(UCD | country-specific any_common)",2024,0.335056756106896,0.307238706004988,0.364069845633343,"proportion"
"c","system_specific_conditional_ucd_fraction","BR","P(UCD | country-specific any_common)",2012,0.519204092237241,0.496667096630765,0.541663210052963,"proportion"
"c","system_specific_conditional_ucd_fraction","BR","P(UCD | country-specific any_common)",2013,0.530871763707865,0.508397792578546,0.553221209760119,"proportion"
"c","system_specific_conditional_ucd_fraction","BR","P(UCD | country-specific any_common)",2014,0.534468732159201,0.511967240196414,0.556830809729494,"proportion"
"c","system_specific_conditional_ucd_fraction","BR","P(UCD | country-specific any_common)",2015,0.546664841166054,0.524196077156518,0.568945076163369,"proportion"
"c","system_specific_conditional_ucd_fraction","BR","P(UCD | country-specific any_common)",2016,0.535944997775006,0.513574644779142,0.55817162811294,"proportion"
"c","system_specific_conditional_ucd_fraction","BR","P(UCD | country-specific any_common)",2017,0.533864131662362,0.511644617513334,0.55595008550928,"proportion"
"c","system_specific_conditional_ucd_fraction","BR","P(UCD | country-specific any_common)",2018,0.541960804388075,0.519726630413988,0.564029098736666,"proportion"
"c","system_specific_conditional_ucd_fraction","BR","P(UCD | country-specific any_common)",2019,0.537241515112903,0.515202874501212,0.559135596796886,"proportion"
"c","system_specific_conditional_ucd_fraction","BR","P(UCD | country-specific any_common)",2020,0.510773050853472,0.488747674853955,0.532756677185325,"proportion"
"c","system_specific_conditional_ucd_fraction","BR","P(UCD | country-specific any_common)",2021,0.513358889929962,0.491611381276693,0.53505593470967,"proportion"
"c","system_specific_conditional_ucd_fraction","BR","P(UCD | country-specific any_common)",2022,0.514755011324119,0.493148628649582,0.53630638106032,"proportion"
"c","system_specific_conditional_ucd_fraction","BR","P(UCD | country-specific any_common)",2023,0.519230375801808,0.497804561019612,0.540585694651195,"proportion"
"c","system_specific_conditional_ucd_fraction","BR","P(UCD | country-specific any_common)",2024,0.515982087416619,0.494632061581577,0.537273932525021,"proportion"
