"source_section","analysis_group","specification","component","estimate","lower","upper","contrast"
"overall","BR/US RR","UCD",,2.97306462323847,2.92714409974388,3.01970553985555,"BR/US RR"
"overall","BR/US RR","country-specific any_common",,2.42702680822531,2.39554329587737,2.45892409374591,"BR/US RR"
"overall","BR/US RR","US-driven structural sensitivity",,2.4612728728716,2.42939564053222,2.49356838123185,"BR/US RR"
"overall","RRR",,,0.816338396836335,0.809051900990996,0.823690516434167,"any_common/UCD"
"overall","RRR",,,1.01411029516865,1.01324848996402,1.01497283337039,"US-driven structural sensitivity/any_common"
"component","BR_US_RR_ucd","UCD","K80",5.58796841389364,5.44887100811334,5.73061666319107,"BR_US_RR_ucd"
"component","BR_US_RR_any_common","country-specific any_common","K80",4.45860395521524,4.36567683399327,4.55350910875315,"BR_US_RR_any_common"
"component","RRR_any_common_vs_ucd","RRR: any_common/UCD","K80",0.797893550029666,0.786130194005717,0.809832928480945,"RRR_any_common_vs_ucd"
"component","BR_US_RR_ucd","UCD","K81",2.01632347837286,1.97470892872751,2.05881500321035,"BR_US_RR_ucd"
"component","BR_US_RR_any_common","country-specific any_common","K81",1.62859106775261,1.59995650688532,1.65773810384816,"BR_US_RR_any_common"
"component","RRR_any_common_vs_ucd","RRR: any_common/UCD","K81",0.807703270442925,0.799274548904378,0.816220876766895,"RRR_any_common_vs_ucd"
"component","BR_US_RR_ucd","UCD","K82",2.75330400967406,2.62103634636552,2.89224641245401,"BR_US_RR_ucd"
"component","BR_US_RR_any_common","country-specific any_common","K82",1.51666651228884,1.467888978992,1.56706490914455,"BR_US_RR_any_common"
"component","RRR_any_common_vs_ucd","RRR: any_common/UCD","K82",0.550853268276895,0.530746612836368,0.571721638598359,"RRR_any_common_vs_ucd"
"component","BR_US_RR_ucd","UCD","K83",2.83216435657158,2.7697707372021,2.89596349434217,"BR_US_RR_ucd"
"component","BR_US_RR_any_common","country-specific any_common","K83",2.65110408104073,2.6086386468175,2.69426080039308,"BR_US_RR_any_common"
"component","RRR_any_common_vs_ucd","RRR: any_common/UCD","K83",0.936069997099313,0.920416081804291,0.951990145317584,"RRR_any_common_vs_ucd"
