analysis,contrast,estimate,lower,upper,se_log,subcode,analysis_status,p_raw,p_holm,direction
K80,BR_US_RR_ucd,5.58796841389364,5.44887100811334,5.73061666319107,0.0128608959944105,K80,MODELED_HC1_CLUSTERED,,,above 1
K80,BR_US_RR_any_common,4.45860395521524,4.36567683399327,4.55350910875315,0.0107461560723351,K80,MODELED_HC1_CLUSTERED,,,above 1
K80,RRR_any_common_vs_ucd,0.797893550029666,0.786130194005717,0.809832928480945,0.00757794523373356,K80,MODELED_HC1_CLUSTERED,4.62135062512579e-195,9.24270125025159e-195,below 1
K81,BR_US_RR_ucd,2.01632347837286,1.97470892872751,2.05881500321035,0.0106401955342811,K81,MODELED_HC1_CLUSTERED,,,above 1
K81,BR_US_RR_any_common,1.62859106775261,1.59995650688532,1.65773810384816,0.00905041823427408,K81,MODELED_HC1_CLUSTERED,,,above 1
K81,RRR_any_common_vs_ucd,0.807703270442925,0.799274548904378,0.816220876766895,0.00535216792210679,K81,MODELED_HC1_CLUSTERED,0,0,below 1
K82,BR_US_RR_ucd,2.75330400967406,2.62103634636552,2.89224641245401,0.0251182943662194,K82,MODELED_HC1_CLUSTERED,,,above 1
K82,BR_US_RR_any_common,1.51666651228884,1.467888978992,1.56706490914455,0.0166783380430501,K82,MODELED_HC1_CLUSTERED,,,above 1
K82,RRR_any_common_vs_ucd,0.550853268276895,0.530746612836368,0.571721638598359,0.0189713031640555,K82,MODELED_HC1_CLUSTERED,7.63589336863272e-217,2.29076801058982e-216,below 1
K83,BR_US_RR_ucd,2.83216435657158,2.7697707372021,2.89596349434217,0.0113656424689532,K83,MODELED_HC1_CLUSTERED,,,above 1
K83,BR_US_RR_any_common,2.65110408104073,2.6086386468175,2.69426080039308,0.00823861917562802,K83,MODELED_HC1_CLUSTERED,,,above 1
K83,RRR_any_common_vs_ucd,0.936069997099313,0.920416081804291,0.951990145317584,0.0086042991190814,K83,MODELED_HC1_CLUSTERED,1.61413741415805e-14,1.61413741415805e-14,below 1
